date,user_submitted_review,title,total_purchased,customer_type
5/13/19,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
11/3/19,OK,R For Dummies,3,Individual
5/19/19,Never read a better book,Fundamentals of R For Beginners,3,Individual
10/22/19,Hated it,Fundamentals of R For Beginners,NA,Business
10/23/19,NA,R For Dummies,3,Business
8/20/19,Hated it,Fundamentals of R For Beginners,3,Business
6/16/19,Never read a better book,R vs Python: An Essay,4,Individual
6/7/19,Awesome!,R vs Python: An Essay,NA,Business
3/31/19,Never read a better book,Fundamentals of R For Beginners,11,Business
3/24/19,Awesome!,R vs Python: An Essay,2,Business
10/28/19,it was okay,Fundamentals of R For Beginners,2,Business
12/28/19,I learned a lot,Fundamentals of R For Beginners,0,Business
10/26/19,Hated it,Fundamentals of R For Beginners,3,Business
12/9/19,A lot of material was not needed,Fundamentals of R For Beginners,NA,Individual
3/3/19,Awesome!,Secrets Of R For Advanced Students,2,Business
9/27/19,I learned a lot,R For Dummies,1,Individual
1/2/19,Awesome!,Fundamentals of R For Beginners,5,Business
1/27/19,Never read a better book,R vs Python: An Essay,0,Individual
3/8/19,Would not recommend,Secrets Of R For Advanced Students,7,Individual
10/4/19,The author's other books were better,R For Dummies,2,Business
3/9/19,Hated it,Secrets Of R For Advanced Students,0,Individual
4/7/19,I learned a lot,Fundamentals of R For Beginners,NA,Individual
1/4/19,,Fundamentals of R For Beginners,2,Business
11/11/19,A lot of material was not needed,Secrets Of R For Advanced Students,7,Business
2/12/19,NA,R For Dummies,7,Business
9/14/19,,Secrets Of R For Advanced Students,4,Business
3/19/19,it was okay,R For Dummies,4,Business
5/25/19,it was okay,Secrets Of R For Advanced Students,4,Business
11/28/19,A lot of material was not needed,R vs Python: An Essay,6,Business
6/9/19,Awesome!,Secrets Of R For Advanced Students,5,Business
3/11/19,Would not recommend,Fundamentals of R For Beginners,5,Business
9/3/19,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
10/16/19,OK,R vs Python: An Essay,5,Individual
9/22/19,it was okay,R For Dummies,4,Business
4/26/19,NA,R vs Python: An Essay,3,Individual
6/7/19,Would not recommend,Fundamentals of R For Beginners,NA,Individual
3/24/19,OK,Fundamentals of R For Beginners,5,Business
4/30/19,Hated it,Fundamentals of R For Beginners,7,Business
8/19/19,OK,Fundamentals of R For Beginners,NA,Business
12/21/19,,Fundamentals of R For Beginners,3,Business
1/3/19,NA,Secrets Of R For Advanced Students,NA,Individual
10/7/19,it was okay,Fundamentals of R For Beginners,4,Business
6/7/19,it was okay,Fundamentals of R For Beginners,2,Individual
12/1/19,I learned a lot,Fundamentals of R For Beginners,4,Business
5/6/19,it was okay,Fundamentals of R For Beginners,6,Business
12/9/19,OK,Fundamentals of R For Beginners,NA,Business
12/30/19,OK,Fundamentals of R For Beginners,3,Business
10/16/19,it was okay,R For Dummies,NA,Business
2/28/19,OK,Fundamentals of R For Beginners,2,Individual
6/7/19,Awesome!,Secrets Of R For Advanced Students,4,Business
6/5/19,OK,R vs Python: An Essay,3,Business
1/23/19,The author's other books were better,Secrets Of R For Advanced Students,NA,Business
8/26/19,Never read a better book,Fundamentals of R For Beginners,3,Business
6/25/19,Awesome!,R For Dummies,4,Business
4/21/19,I learned a lot,R For Dummies,0,Business
1/3/19,A lot of material was not needed,Fundamentals of R For Beginners,4,Individual
5/16/19,Would not recommend,R For Dummies,5,Individual
10/23/19,Hated it,R For Dummies,3,Business
8/25/19,Awesome!,Fundamentals of R For Beginners,3,Individual
2/15/19,A lot of material was not needed,R For Dummies,2,Business
8/12/19,,Fundamentals of R For Beginners,3,Individual
10/26/19,Would not recommend,R For Dummies,2,Individual
4/18/19,A lot of material was not needed,R vs Python: An Essay,8,Business
9/13/19,Would not recommend,R vs Python: An Essay,3,Business
7/14/19,A lot of material was not needed,R vs Python: An Essay,NA,Business
6/11/19,Hated it,R For Dummies,8,Business
9/7/19,it was okay,Secrets Of R For Advanced Students,NA,Business
7/20/19,it was okay,R For Dummies,3,Individual
9/24/19,,R For Dummies,1,Business
8/14/19,,Fundamentals of R For Beginners,4,Business
7/20/19,Hated it,Fundamentals of R For Beginners,2,Business
4/29/19,OK,Fundamentals of R For Beginners,2,Business
7/7/19,The author's other books were better,R For Dummies,5,Business
7/31/19,The author's other books were better,Secrets Of R For Advanced Students,4,Individual
11/28/19,Hated it,Fundamentals of R For Beginners,7,Individual
5/28/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Individual
12/10/19,it was okay,Fundamentals of R For Beginners,4,Business
7/19/19,I learned a lot,R vs Python: An Essay,2,Business
6/28/19,,Fundamentals of R For Beginners,2,Business
6/27/19,Awesome!,Secrets Of R For Advanced Students,1,Business
7/20/19,Never read a better book,R For Dummies,NA,Business
4/2/19,OK,Fundamentals of R For Beginners,5,Business
5/21/19,The author's other books were better,Secrets Of R For Advanced Students,NA,Business
8/14/19,I learned a lot,Fundamentals of R For Beginners,3,Individual
6/29/19,I learned a lot,Fundamentals of R For Beginners,1,Business
10/27/19,,Fundamentals of R For Beginners,NA,Business
4/9/19,The author's other books were better,Fundamentals of R For Beginners,3,Business
8/14/19,The author's other books were better,Fundamentals of R For Beginners,NA,Business
3/10/19,Would not recommend,Fundamentals of R For Beginners,8,Individual
1/18/19,Hated it,Fundamentals of R For Beginners,2,Individual
5/23/19,,R vs Python: An Essay,8,Business
1/13/19,The author's other books were better,Fundamentals of R For Beginners,1,Individual
1/27/19,The author's other books were better,R For Dummies,3,Business
3/2/19,OK,Secrets Of R For Advanced Students,2,Business
4/21/19,The author's other books were better,Secrets Of R For Advanced Students,1,Business
9/3/19,The author's other books were better,Fundamentals of R For Beginners,3,Business
5/20/19,The author's other books were better,Fundamentals of R For Beginners,NA,Individual
6/1/19,Awesome!,Fundamentals of R For Beginners,2,Individual
10/3/19,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
12/30/19,,Fundamentals of R For Beginners,5,Business
3/22/19,Would not recommend,Top 10 Mistakes R Beginners Make,7,Business
6/1/19,OK,R For Dummies,NA,Business
4/30/19,,R For Dummies,4,Business
3/9/19,Hated it,Fundamentals of R For Beginners,1,Business
7/18/19,Would not recommend,Secrets Of R For Advanced Students,NA,Business
2/13/19,Awesome!,R vs Python: An Essay,5,Business
2/11/19,NA,R For Dummies,2,Individual
3/9/19,A lot of material was not needed,Secrets Of R For Advanced Students,NA,Business
4/9/19,OK,Top 10 Mistakes R Beginners Make,NA,Business
7/22/19,NA,Fundamentals of R For Beginners,2,Business
6/15/19,it was okay,Fundamentals of R For Beginners,7,Business
7/16/19,The author's other books were better,Fundamentals of R For Beginners,3,Business
7/6/19,it was okay,R vs Python: An Essay,8,Business
3/24/19,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
3/13/19,Awesome!,R vs Python: An Essay,5,Business
12/13/19,I learned a lot,Secrets Of R For Advanced Students,NA,Business
10/12/19,NA,R vs Python: An Essay,2,Business
8/22/19,Hated it,R For Dummies,7,Business
9/11/19,Hated it,R For Dummies,3,Individual
4/6/19,,Fundamentals of R For Beginners,3,Individual
12/3/19,Never read a better book,Secrets Of R For Advanced Students,5,Individual
7/28/19,it was okay,R vs Python: An Essay,1,Business
3/7/19,NA,Fundamentals of R For Beginners,4,Business
2/3/19,Awesome!,R For Dummies,2,Business
8/27/19,,R vs Python: An Essay,5,Business
2/25/19,Awesome!,R For Dummies,3,Business
5/26/19,NA,R For Dummies,6,Business
5/4/19,Never read a better book,R vs Python: An Essay,2,Individual
6/6/19,A lot of material was not needed,R vs Python: An Essay,4,Business
7/27/19,NA,R For Dummies,4,Business
7/16/19,OK,R For Dummies,6,Business
5/12/19,OK,Fundamentals of R For Beginners,6,Business
5/25/19,I learned a lot,Fundamentals of R For Beginners,2,Business
4/10/19,Hated it,Secrets Of R For Advanced Students,NA,Business
12/28/19,OK,R For Dummies,2,Business
11/11/19,Never read a better book,R vs Python: An Essay,4,Business
11/1/19,,Fundamentals of R For Beginners,8,Individual
3/13/19,Hated it,R vs Python: An Essay,7,Individual
9/3/19,A lot of material was not needed,Top 10 Mistakes R Beginners Make,2,Business
1/4/19,,R For Dummies,3,Business
1/2/19,NA,R For Dummies,NA,Individual
5/31/19,The author's other books were better,Fundamentals of R For Beginners,NA,Individual
9/7/19,NA,R For Dummies,2,Individual
12/29/19,NA,R For Dummies,7,Business
10/9/19,Awesome!,R For Dummies,4,Business
1/30/19,Awesome!,Fundamentals of R For Beginners,3,Business
3/13/19,it was okay,R For Dummies,9,Individual
3/8/19,I learned a lot,Fundamentals of R For Beginners,NA,Business
8/21/19,Hated it,Secrets Of R For Advanced Students,2,Individual
12/2/19,Hated it,R For Dummies,8,Individual
1/1/19,Hated it,R For Dummies,7,Business
1/15/19,A lot of material was not needed,R For Dummies,4,Business
10/2/19,NA,Fundamentals of R For Beginners,6,Business
7/13/19,Would not recommend,R For Dummies,3,Individual
2/10/19,The author's other books were better,R vs Python: An Essay,4,Individual
6/22/19,Hated it,R For Dummies,7,Business
4/10/19,Awesome!,Fundamentals of R For Beginners,4,Business
12/21/19,Hated it,R vs Python: An Essay,2,Individual
12/31/19,Hated it,Fundamentals of R For Beginners,6,Business
1/31/19,Awesome!,R For Dummies,4,Business
1/5/19,Awesome!,Secrets Of R For Advanced Students,7,Individual
2/10/19,NA,Fundamentals of R For Beginners,NA,Business
1/1/19,The author's other books were better,Fundamentals of R For Beginners,NA,Individual
7/4/19,,Fundamentals of R For Beginners,1,Business
6/7/19,,R vs Python: An Essay,NA,Individual
1/11/19,OK,Fundamentals of R For Beginners,4,Business
10/20/19,OK,Fundamentals of R For Beginners,2,Business
10/1/19,A lot of material was not needed,R For Dummies,3,Business
7/13/19,I learned a lot,R For Dummies,NA,Business
8/14/19,Hated it,R vs Python: An Essay,NA,Business
4/12/19,I learned a lot,R For Dummies,NA,Business
10/30/19,Hated it,R For Dummies,2,Individual
6/1/19,Hated it,R vs Python: An Essay,0,Business
11/25/19,Hated it,Fundamentals of R For Beginners,3,Business
1/15/19,Would not recommend,Secrets Of R For Advanced Students,3,Individual
4/11/19,NA,Fundamentals of R For Beginners,1,Business
3/31/19,Hated it,Fundamentals of R For Beginners,3,Business
3/23/19,,Fundamentals of R For Beginners,2,Business
7/11/19,I learned a lot,R vs Python: An Essay,3,Business
5/11/19,The author's other books were better,Secrets Of R For Advanced Students,1,Business
12/29/19,Never read a better book,R For Dummies,5,Business
5/6/19,,R vs Python: An Essay,4,Business
7/1/19,NA,Secrets Of R For Advanced Students,9,Business
3/30/19,Would not recommend,Fundamentals of R For Beginners,2,Business
4/2/19,A lot of material was not needed,Secrets Of R For Advanced Students,4,Business
2/25/19,,R For Dummies,5,Business
10/21/19,,Fundamentals of R For Beginners,5,Business
5/29/19,Would not recommend,Fundamentals of R For Beginners,3,Business
7/25/19,,R vs Python: An Essay,3,Business
8/19/19,Never read a better book,R For Dummies,5,Business
7/18/19,Hated it,Fundamentals of R For Beginners,2,Business
4/2/19,I learned a lot,R vs Python: An Essay,3,Business
9/9/19,Awesome!,Secrets Of R For Advanced Students,2,Business
5/31/19,Hated it,Fundamentals of R For Beginners,2,Business
11/5/19,Awesome!,Fundamentals of R For Beginners,4,Business
1/11/19,Would not recommend,R vs Python: An Essay,7,Business
9/27/19,it was okay,R For Dummies,3,Business
1/5/19,The author's other books were better,Fundamentals of R For Beginners,6,Business
12/11/19,,Secrets Of R For Advanced Students,4,Business
3/4/19,The author's other books were better,Fundamentals of R For Beginners,8,Business
6/3/19,Would not recommend,R For Dummies,4,Business
5/13/19,NA,Fundamentals of R For Beginners,NA,Business
3/27/19,The author's other books were better,Fundamentals of R For Beginners,4,Business
11/9/19,,R vs Python: An Essay,NA,Business
7/23/19,it was okay,Fundamentals of R For Beginners,9,Business
2/7/19,it was okay,R For Dummies,2,Individual
5/20/19,Hated it,R For Dummies,2,Individual
5/5/19,it was okay,R vs Python: An Essay,5,Business
3/26/19,Awesome!,Secrets Of R For Advanced Students,2,Business
11/26/19,A lot of material was not needed,R For Dummies,NA,Individual
5/9/19,Hated it,Fundamentals of R For Beginners,6,Business
6/22/19,Hated it,Secrets Of R For Advanced Students,6,Business
1/31/19,OK,Top 10 Mistakes R Beginners Make,3,Individual
10/1/19,NA,Fundamentals of R For Beginners,5,Business
4/19/19,Hated it,Fundamentals of R For Beginners,4,Business
1/14/19,A lot of material was not needed,Fundamentals of R For Beginners,NA,Individual
5/26/19,Would not recommend,R For Dummies,4,Individual
9/6/19,Awesome!,Fundamentals of R For Beginners,NA,Business
8/7/19,OK,R For Dummies,4,Individual
8/18/19,OK,R vs Python: An Essay,2,Business
3/1/19,it was okay,Fundamentals of R For Beginners,6,Individual
7/16/19,,R For Dummies,5,Individual
7/8/19,Would not recommend,R vs Python: An Essay,4,Business
11/1/19,A lot of material was not needed,Secrets Of R For Advanced Students,1,Business
3/2/19,,R For Dummies,NA,Business
3/13/19,,Fundamentals of R For Beginners,NA,Business
7/8/19,it was okay,Fundamentals of R For Beginners,7,Business
2/24/19,Hated it,R For Dummies,4,Business
4/18/19,The author's other books were better,Fundamentals of R For Beginners,1,Business
11/26/19,,Fundamentals of R For Beginners,3,Individual
1/15/19,it was okay,R For Dummies,3,Individual
12/22/19,NA,R vs Python: An Essay,3,Business
10/30/19,Would not recommend,R For Dummies,3,Business
5/25/19,Would not recommend,Fundamentals of R For Beginners,5,Business
6/10/19,Awesome!,R vs Python: An Essay,3,Business
12/2/19,Never read a better book,R vs Python: An Essay,6,Business
6/29/19,it was okay,Secrets Of R For Advanced Students,2,Individual
1/21/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
7/26/19,OK,Fundamentals of R For Beginners,3,Business
7/15/19,NA,Fundamentals of R For Beginners,6,Business
2/9/19,OK,Secrets Of R For Advanced Students,1,Business
7/28/19,A lot of material was not needed,R For Dummies,5,Business
2/21/19,Never read a better book,Fundamentals of R For Beginners,4,Individual
6/16/19,I learned a lot,Secrets Of R For Advanced Students,4,Business
4/22/19,Awesome!,Fundamentals of R For Beginners,7,Individual
8/24/19,Awesome!,R For Dummies,5,Individual
8/31/19,Awesome!,Fundamentals of R For Beginners,2,Business
8/11/19,The author's other books were better,Secrets Of R For Advanced Students,5,Business
9/5/19,I learned a lot,Fundamentals of R For Beginners,3,Business
4/9/19,Would not recommend,Secrets Of R For Advanced Students,2,Business
3/19/19,The author's other books were better,Secrets Of R For Advanced Students,4,Business
9/3/19,NA,R For Dummies,5,Business
5/10/19,Never read a better book,Fundamentals of R For Beginners,3,Individual
9/22/19,,Fundamentals of R For Beginners,3,Business
9/17/19,Awesome!,R vs Python: An Essay,5,Business
9/26/19,OK,R vs Python: An Essay,4,Individual
12/29/19,Awesome!,Fundamentals of R For Beginners,3,Individual
3/19/19,I learned a lot,Fundamentals of R For Beginners,NA,Business
5/12/19,Awesome!,R For Dummies,3,Business
12/27/19,A lot of material was not needed,Fundamentals of R For Beginners,4,Individual
4/10/19,Would not recommend,Secrets Of R For Advanced Students,3,Business
6/17/19,,R vs Python: An Essay,3,Business
12/12/19,NA,R For Dummies,4,Individual
10/7/19,it was okay,Fundamentals of R For Beginners,NA,Individual
3/12/19,NA,R vs Python: An Essay,4,Business
4/18/19,I learned a lot,R vs Python: An Essay,7,Business
9/10/19,I learned a lot,Top 10 Mistakes R Beginners Make,NA,Business
2/13/19,I learned a lot,Fundamentals of R For Beginners,6,Individual
8/7/19,NA,Secrets Of R For Advanced Students,NA,Business
6/5/19,Never read a better book,Secrets Of R For Advanced Students,4,Individual
12/20/19,Would not recommend,R For Dummies,8,Business
11/15/19,I learned a lot,Secrets Of R For Advanced Students,4,Business
1/18/19,Awesome!,Fundamentals of R For Beginners,NA,Business
7/13/19,OK,Fundamentals of R For Beginners,6,Business
5/30/19,Never read a better book,R For Dummies,4,Individual
11/21/19,it was okay,Fundamentals of R For Beginners,6,Individual
7/21/19,it was okay,R vs Python: An Essay,2,Individual
9/28/19,Awesome!,R For Dummies,7,Business
6/12/19,NA,Fundamentals of R For Beginners,2,Business
10/24/19,it was okay,R For Dummies,5,Business
9/2/19,,R For Dummies,5,Business
2/2/19,I learned a lot,Fundamentals of R For Beginners,NA,Business
4/22/19,Hated it,R For Dummies,5,Business
3/19/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Individual
7/23/19,OK,Secrets Of R For Advanced Students,3,Business
1/30/19,it was okay,Fundamentals of R For Beginners,4,Individual
6/13/19,Never read a better book,R vs Python: An Essay,1,Business
5/11/19,Awesome!,R For Dummies,2,Individual
6/18/19,A lot of material was not needed,R For Dummies,4,Individual
12/19/19,Hated it,Secrets Of R For Advanced Students,2,Business
10/22/19,NA,R For Dummies,6,Business
10/6/19,it was okay,R For Dummies,6,Business
12/23/19,A lot of material was not needed,Secrets Of R For Advanced Students,3,Business
4/23/19,Would not recommend,R vs Python: An Essay,7,Business
8/1/19,it was okay,Fundamentals of R For Beginners,4,Business
11/19/19,Hated it,Fundamentals of R For Beginners,NA,Business
10/2/19,The author's other books were better,R vs Python: An Essay,2,Business
8/6/19,Hated it,R For Dummies,2,Business
12/9/19,it was okay,Secrets Of R For Advanced Students,7,Individual
3/31/19,Hated it,Fundamentals of R For Beginners,3,Business
5/1/19,Would not recommend,Top 10 Mistakes R Beginners Make,NA,Individual
6/7/19,OK,R For Dummies,NA,Business
2/20/19,,R For Dummies,4,Business
11/15/19,Awesome!,Fundamentals of R For Beginners,NA,Individual
11/5/19,A lot of material was not needed,Fundamentals of R For Beginners,5,Individual
8/15/19,Hated it,R For Dummies,8,Business
3/24/19,Awesome!,Fundamentals of R For Beginners,3,Business
6/1/19,it was okay,Fundamentals of R For Beginners,3,Individual
3/11/19,The author's other books were better,R For Dummies,NA,Business
7/4/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
8/29/19,Would not recommend,R vs Python: An Essay,2,Individual
7/14/19,,Fundamentals of R For Beginners,6,Business
4/22/19,I learned a lot,R For Dummies,3,Business
10/3/19,The author's other books were better,Secrets Of R For Advanced Students,7,Business
4/11/19,Never read a better book,Top 10 Mistakes R Beginners Make,2,Business
2/7/19,Never read a better book,R For Dummies,NA,Business
7/18/19,NA,R vs Python: An Essay,1,Business
2/28/19,NA,Top 10 Mistakes R Beginners Make,5,Business
5/10/19,Never read a better book,R For Dummies,3,Individual
8/29/19,Would not recommend,R vs Python: An Essay,4,Individual
7/11/19,A lot of material was not needed,R For Dummies,6,Business
6/3/19,,R vs Python: An Essay,6,Business
6/1/19,it was okay,Fundamentals of R For Beginners,4,Individual
4/4/19,A lot of material was not needed,Fundamentals of R For Beginners,6,Individual
12/22/19,Hated it,Fundamentals of R For Beginners,8,Individual
12/10/19,Never read a better book,R vs Python: An Essay,4,Individual
6/7/19,NA,R For Dummies,8,Business
3/30/19,I learned a lot,Fundamentals of R For Beginners,2,Business
12/8/19,NA,R vs Python: An Essay,3,Business
1/25/19,Hated it,R For Dummies,5,Individual
4/23/19,The author's other books were better,R vs Python: An Essay,7,Individual
10/21/19,OK,R For Dummies,NA,Business
1/10/19,Would not recommend,R For Dummies,1,Business
6/14/19,I learned a lot,R For Dummies,NA,Business
2/22/19,I learned a lot,Secrets Of R For Advanced Students,3,Business
9/10/19,Hated it,Fundamentals of R For Beginners,6,Individual
2/9/19,The author's other books were better,Fundamentals of R For Beginners,10,Business
5/24/19,The author's other books were better,R For Dummies,3,Business
12/31/19,OK,R For Dummies,5,Business
3/29/19,Awesome!,Fundamentals of R For Beginners,NA,Business
5/1/19,I learned a lot,R For Dummies,1,Business
2/23/19,The author's other books were better,Fundamentals of R For Beginners,5,Business
10/3/19,OK,Fundamentals of R For Beginners,NA,Individual
4/20/19,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
11/7/19,OK,R For Dummies,2,Business
12/4/19,it was okay,Secrets Of R For Advanced Students,8,Business
12/5/19,A lot of material was not needed,R For Dummies,2,Business
5/28/19,NA,Fundamentals of R For Beginners,5,Business
7/26/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Business
10/4/19,I learned a lot,Fundamentals of R For Beginners,3,Individual
3/19/19,The author's other books were better,R vs Python: An Essay,9,Business
7/29/19,it was okay,R vs Python: An Essay,1,Business
11/26/19,Awesome!,R vs Python: An Essay,5,Business
10/11/19,it was okay,R For Dummies,7,Business
8/2/19,Never read a better book,Secrets Of R For Advanced Students,2,Business
4/6/19,The author's other books were better,Fundamentals of R For Beginners,4,Business
3/21/19,Awesome!,R For Dummies,NA,Business
9/12/19,The author's other books were better,R vs Python: An Essay,5,Business
10/21/19,I learned a lot,Secrets Of R For Advanced Students,NA,Business
2/20/19,The author's other books were better,Fundamentals of R For Beginners,4,Business
8/10/19,Hated it,R For Dummies,4,Individual
9/3/19,I learned a lot,Fundamentals of R For Beginners,0,Individual
6/18/19,OK,Secrets Of R For Advanced Students,4,Business
6/28/19,Never read a better book,R For Dummies,6,Business
7/13/19,Would not recommend,R For Dummies,3,Business
2/4/19,The author's other books were better,Fundamentals of R For Beginners,3,Business
10/5/19,Would not recommend,R vs Python: An Essay,4,Business
12/20/19,,R For Dummies,7,Business
4/16/19,Awesome!,R For Dummies,1,Business
2/16/19,NA,Fundamentals of R For Beginners,6,Business
7/11/19,A lot of material was not needed,Secrets Of R For Advanced Students,5,Business
11/21/19,Would not recommend,R For Dummies,5,Business
10/4/19,A lot of material was not needed,Fundamentals of R For Beginners,5,Business
10/19/19,Never read a better book,R For Dummies,4,Individual
1/21/19,it was okay,Fundamentals of R For Beginners,7,Individual
12/27/19,I learned a lot,Fundamentals of R For Beginners,3,Business
5/29/19,The author's other books were better,R For Dummies,5,Individual
1/5/19,I learned a lot,Secrets Of R For Advanced Students,NA,Business
12/14/19,I learned a lot,Secrets Of R For Advanced Students,2,Business
3/31/19,Would not recommend,Fundamentals of R For Beginners,5,Individual
1/9/19,Awesome!,R For Dummies,1,Business
6/30/19,Never read a better book,R For Dummies,2,Individual
5/26/19,,Top 10 Mistakes R Beginners Make,NA,Business
10/11/19,OK,R vs Python: An Essay,1,Business
3/12/19,NA,R For Dummies,5,Business
7/20/19,I learned a lot,R For Dummies,6,Business
5/7/19,OK,Secrets Of R For Advanced Students,7,Business
6/8/19,Never read a better book,Fundamentals of R For Beginners,5,Business
9/2/19,it was okay,Secrets Of R For Advanced Students,3,Business
11/13/19,Never read a better book,R vs Python: An Essay,3,Business
6/2/19,NA,R For Dummies,NA,Business
12/21/19,The author's other books were better,R For Dummies,7,Business
8/14/19,I learned a lot,Fundamentals of R For Beginners,6,Individual
11/16/19,The author's other books were better,Top 10 Mistakes R Beginners Make,NA,Business
10/29/19,Would not recommend,R For Dummies,NA,Individual
3/2/19,,Fundamentals of R For Beginners,4,Individual
2/13/19,OK,Fundamentals of R For Beginners,2,Business
5/31/19,Would not recommend,Fundamentals of R For Beginners,3,Business
11/29/19,OK,R For Dummies,7,Business
7/6/19,Awesome!,R vs Python: An Essay,4,Business
6/12/19,Never read a better book,R For Dummies,3,Business
10/17/19,Never read a better book,R vs Python: An Essay,3,Business
5/5/19,Hated it,R For Dummies,9,Business
6/28/19,Would not recommend,R For Dummies,3,Business
6/19/19,NA,Fundamentals of R For Beginners,2,Business
11/27/19,it was okay,Fundamentals of R For Beginners,2,Business
3/16/19,Never read a better book,Fundamentals of R For Beginners,3,Business
5/22/19,Hated it,R For Dummies,7,Individual
6/29/19,NA,Fundamentals of R For Beginners,NA,Individual
8/11/19,Never read a better book,R For Dummies,4,Business
2/24/19,A lot of material was not needed,R For Dummies,NA,Business
2/15/19,Never read a better book,Fundamentals of R For Beginners,4,Business
9/10/19,Hated it,Fundamentals of R For Beginners,8,Individual
10/1/19,NA,R For Dummies,8,Individual
11/10/19,OK,Fundamentals of R For Beginners,NA,Business
5/4/19,OK,R For Dummies,NA,Business
1/1/19,The author's other books were better,Fundamentals of R For Beginners,NA,Individual
6/11/19,The author's other books were better,R For Dummies,NA,Business
12/29/19,NA,Secrets Of R For Advanced Students,4,Business
8/31/19,Awesome!,Fundamentals of R For Beginners,5,Business
1/12/19,it was okay,R For Dummies,5,Individual
9/3/19,NA,R vs Python: An Essay,4,Business
1/5/19,Awesome!,R For Dummies,7,Business
1/27/19,Would not recommend,R For Dummies,NA,Individual
6/29/19,Hated it,R For Dummies,3,Business
4/5/19,NA,R For Dummies,3,Business
7/19/19,Awesome!,R For Dummies,2,Individual
7/14/19,The author's other books were better,Fundamentals of R For Beginners,2,Business
9/4/19,NA,Top 10 Mistakes R Beginners Make,4,Business
10/24/19,Would not recommend,Secrets Of R For Advanced Students,5,Business
2/7/19,Awesome!,Fundamentals of R For Beginners,4,Business
5/12/19,I learned a lot,Fundamentals of R For Beginners,1,Individual
7/19/19,The author's other books were better,R For Dummies,4,Business
1/25/19,it was okay,R vs Python: An Essay,2,Business
7/15/19,Awesome!,Fundamentals of R For Beginners,4,Business
8/16/19,I learned a lot,Secrets Of R For Advanced Students,4,Individual
1/6/19,Would not recommend,R For Dummies,3,Individual
8/1/19,Hated it,Secrets Of R For Advanced Students,8,Business
2/3/19,Awesome!,Fundamentals of R For Beginners,3,Individual
7/14/19,NA,R For Dummies,NA,Individual
3/11/19,Never read a better book,R For Dummies,2,Individual
7/8/19,NA,R vs Python: An Essay,NA,Business
2/22/19,Awesome!,Top 10 Mistakes R Beginners Make,4,Business
8/7/19,Would not recommend,Fundamentals of R For Beginners,4,Individual
12/17/19,I learned a lot,Fundamentals of R For Beginners,4,Business
4/10/19,Awesome!,R For Dummies,5,Business
2/25/19,Hated it,R For Dummies,3,Business
10/1/19,NA,Fundamentals of R For Beginners,4,Business
12/20/19,Would not recommend,Fundamentals of R For Beginners,11,Individual
7/9/19,A lot of material was not needed,R For Dummies,2,Business
6/15/19,A lot of material was not needed,Fundamentals of R For Beginners,5,Business
10/8/19,NA,R For Dummies,6,Individual
4/14/19,Would not recommend,Secrets Of R For Advanced Students,NA,Business
3/15/19,Never read a better book,R For Dummies,NA,Individual
5/1/19,Awesome!,R For Dummies,3,Business
11/23/19,A lot of material was not needed,Fundamentals of R For Beginners,2,Business
10/31/19,NA,R For Dummies,5,Individual
10/6/19,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
9/12/19,The author's other books were better,R For Dummies,4,Individual
7/8/19,The author's other books were better,Secrets Of R For Advanced Students,5,Individual
11/17/19,Hated it,Fundamentals of R For Beginners,1,Individual
10/14/19,Hated it,R For Dummies,3,Business
4/20/19,NA,Secrets Of R For Advanced Students,5,Business
12/11/19,NA,Secrets Of R For Advanced Students,7,Individual
3/3/19,Never read a better book,R For Dummies,4,Business
10/4/19,A lot of material was not needed,Fundamentals of R For Beginners,1,Business
7/18/19,Would not recommend,R vs Python: An Essay,2,Individual
10/5/19,Hated it,R For Dummies,NA,Business
7/15/19,Awesome!,R For Dummies,NA,Business
11/19/19,it was okay,Secrets Of R For Advanced Students,2,Business
1/9/19,Awesome!,R For Dummies,6,Business
8/26/19,The author's other books were better,R For Dummies,3,Business
1/6/19,it was okay,R For Dummies,3,Business
8/24/19,A lot of material was not needed,R For Dummies,3,Business
9/2/19,Never read a better book,Fundamentals of R For Beginners,8,Business
11/20/19,Would not recommend,Fundamentals of R For Beginners,0,Business
4/4/19,Never read a better book,R vs Python: An Essay,3,Business
5/24/19,The author's other books were better,R For Dummies,3,Individual
9/12/19,Awesome!,Top 10 Mistakes R Beginners Make,5,Business
3/21/19,NA,Fundamentals of R For Beginners,6,Business
4/19/19,,Fundamentals of R For Beginners,4,Business
1/17/19,Would not recommend,Fundamentals of R For Beginners,6,Individual
9/22/19,,R For Dummies,5,Individual
3/19/19,it was okay,R For Dummies,4,Business
4/8/19,A lot of material was not needed,Secrets Of R For Advanced Students,5,Individual
5/10/19,it was okay,R vs Python: An Essay,5,Individual
